N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
50,25,1,4,3600.24,57.07,4.1,3.12,4.2,4.2,1291.95,2.38,92.64,25.71,0,6292
50,25,1,5,3600.3,48.66,4.52,3.4,4.69,4.69,976.55,3.62,90.36,27.51,0,8662
60,15,1,1,3600.18,54.01,6.33,4.46,6.56,6.56,753.24,3.51,87.85,32.01,0,3183
60,15,1,2,3600.14,49.58,5.52,4.01,6.03,6.03,798.19,8.46,87.84,33.5,0,3277
60,15,1,3,3600.08,57.63,4.66,3.13,4.93,4.93,1136.7,5.48,91.45,36.51,0,4304
60,15,1,4,3600.17,20.59,5.3,4.17,5.69,5.69,288.49,6.85,72.37,26.71,0,2853
60,15,1,5,3600.22,43.01,5.66,4.13,5.82,5.82,659.89,2.75,86.47,29.04,0,2863
60,20,1,1,3600.06,62.03,4.65,3.39,4.78,4.78,1233.98,2.72,92.29,29.08,0,5158
60,20,1,2,3600.12,47,4.72,3.17,4.93,4.93,895.76,4.26,89.51,35.7,0,5331
60,20,1,3,3600.15,17.15,4.42,3.24,4.52,4.52,288.01,2.21,73.64,28.32,0,5283
60,20,1,4,3600.34,47.52,3.79,3.03,3.9,3.9,1153.83,2.82,91.79,22.31,0,1163
60,20,1,5,2918.41,5.21,5.21,4.04,5.21,5.21,0,0,0,22.46,1,7557
60,30,1,1,3600.17,54.42,3.25,2.59,3.53,3.53,1574.46,7.93,93.51,26.63,0,1954
60,30,1,2,3600.73,48.46,2.93,2.43,3.07,3.07,1553.92,4.56,93.66,20.85,0,2465
60,30,1,3,3600.15,43.04,3.27,2.6,3.45,3.45,1216.21,5.22,91.98,24.64,0,2773
60,30,1,4,3600.24,57.8,3.42,2.65,3.72,3.72,1590.06,8.06,93.56,28.76,0,5298
60,30,1,5,3600.87,45.81,3.58,2.93,3.8,3.8,1179.61,5.79,91.7,22.89,0,3501
70,17,1,1,3600.23,56.94,4.14,3.31,4.27,4.27,1275.36,3.04,92.5,22.48,0,2205
70,17,1,2,3600.23,6.48,4.98,3.7,5.23,5.23,30.12,4.78,19.29,29.25,0,1912
70,17,1,3,3600.2,60.49,4.63,3.43,4.8,4.8,1206.48,3.54,92.06,28.54,0,1246
70,17,1,4,3600.36,46.09,5.18,3.69,5.45,5.45,789.77,4.95,88.18,32.29,0,1616
70,17,1,5,3600.21,52.87,4.95,3.52,5.42,5.42,968.08,8.67,89.75,35.06,0,832
70,23,1,1,3600.21,51.4,3.82,2.72,4.11,4.11,1245.55,7.06,92,33.82,0,4461
70,23,1,2,3600.33,64.05,3.96,3.01,4.11,4.11,1517.42,3.65,93.58,26.76,0,3673
