N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
50,12,1,4,2349.82,7.16,7.16,4.38,7.16,7.16,0,0,0,38.83,1,1509
50,12,1,5,2473.14,7.06,7.06,4.71,7.06,7.06,0,0,0,33.29,1,1440
50,16,1,1,577.41,6.09,6.09,4.86,6.09,6.09,0,0,0,20.2,1,547
50,16,1,2,297.29,6.1,6.1,4.24,6.1,6.1,0,0,0,30.49,1,531
50,16,1,3,542.75,5.5,5.5,3.85,5.5,5.5,0,0,0,30,1,308
50,16,1,4,204.88,5.06,5.06,3.76,5.06,5.06,0,0,0,25.69,1,899
50,16,1,5,212.74,5.58,5.58,4.1,5.58,5.58,0,0,0,26.52,1,27
50,25,1,1,178.14,5.01,5.01,4.03,5.01,5.01,0,0,0,19.56,1,5682
50,25,1,2,202.05,3.87,3.87,2.86,3.87,3.87,0,0,0,26.1,1,1181
50,25,1,3,103.81,3.38,3.38,2.42,3.38,3.38,0,0,0,28.4,1,321
50,25,1,4,42.87,4.2,4.2,3.12,4.2,4.2,0,0,0,25.71,1,1
50,25,1,5,69.15,4.69,4.69,3.4,4.69,4.69,0,0,0,27.51,1,425
60,15,1,1,1219.11,6.56,6.56,4.46,6.56,6.56,0,0,0,32.01,1,304
60,15,1,2,3600.06,6.03,5.92,4.01,6.03,6.03,1.86,1.82,0,33.5,0,14515
60,15,1,3,3600.07,5.54,4.77,3.13,4.93,4.93,16.14,3.25,11.01,36.51,0,1153
60,15,1,4,3600.13,5.69,5.6,4.17,5.69,5.69,1.61,1.58,0,26.71,0,14584
60,15,1,5,3161.31,5.82,5.82,4.13,5.82,5.82,0,0,0,29.04,1,3246
60,20,1,1,681.08,4.78,4.78,3.39,4.78,4.78,0,0,0,29.08,1,218
60,20,1,2,704.99,4.93,4.93,3.17,4.93,4.93,0,0,0,35.7,1,1762
60,20,1,3,521.05,4.52,4.52,3.24,4.52,4.52,0,0,0,28.32,1,639
60,20,1,4,723.83,3.9,3.9,3.03,3.9,3.9,0,0,0,22.31,1,5995
60,20,1,5,688.18,5.21,5.21,4.04,5.21,5.21,0,0,0,22.46,1,363
60,30,1,1,318.41,3.53,3.53,2.59,3.53,3.53,0,0,0,26.63,1,1631
60,30,1,2,229.61,3.07,3.07,2.43,3.07,3.07,0,0,0,20.85,1,101
60,30,1,3,461.14,3.45,3.45,2.6,3.45,3.45,0,0,0,24.64,1,14778
60,30,1,4,3600.33,3.72,3.71,2.65,3.72,3.72,0.27,0.27,0,28.76,0,53867
60,30,1,5,149.08,3.8,3.8,2.93,3.8,3.8,0,0,0,22.89,1,340
70,17,1,1,925.17,4.27,4.27,3.31,4.27,4.27,0,0,0,22.48,1,170
70,17,1,2,2750.78,5.23,5.23,3.7,5.23,5.23,0,0,0,29.25,1,931
70,17,1,3,1408.59,4.8,4.8,3.43,4.8,4.8,0,0,0,28.54,1,66
70,17,1,4,1886.26,5.45,5.45,3.69,5.45,5.45,0,0,0,32.29,1,161
70,17,1,5,3485.88,5.42,5.42,3.52,5.42,5.42,0,0,0,35.06,1,1627
70,23,1,1,3600.06,4.11,4.08,2.72,4.11,4.11,0.74,0.73,0,33.82,0,13036
70,23,1,2,2971.57,4.11,4.11,3.01,4.11,4.11,0,0,0,26.76,1,69371
70,23,1,3,3600.24,3.79,3.76,2.6,3.77,3.77,0.8,0.27,0.53,31.03,0,22527
70,23,1,4,3600.45,4.85,4.84,3.46,4.85,4.85,0.21,0.21,0,28.66,0,35984
70,23,1,5,1132.22,4.48,4.48,3.12,4.48,4.48,0,0,0,30.36,1,243
70,35,1,1,3600.54,2.81,2.81,2.31,2.81,2.81,0,0,0,17.79,0,1427848
70,35,1,2,824.1,3.16,3.16,2.54,3.16,3.16,0,0,0,19.62,1,20753
70,35,1,3,1369.4,3.09,3.09,2.34,3.09,3.09,0,0,0,24.27,1,21317
70,35,1,4,1797.26,3.32,3.32,2.58,3.32,3.32,0,0,0,22.29,1,9746
70,35,1,5,199.26,3.13,3.13,2.44,3.13,3.13,0,0,0,22.04,1,838
80,20,1,1,3600.43,4.97,4.89,3.62,4.95,4.95,1.64,1.21,0.4,26.87,0,515
80,20,1,2,3603.49,4.41,4.19,3.09,4.3,4.3,5.25,2.56,2.49,28.14,0,66
80,20,1,3,3600.25,6.02,4.57,3.19,4.87,4.87,31.73,6.16,19.1,34.5,0,31
80,20,1,4,3600.39,4.73,4.5,3.25,4.66,4.66,5.11,3.43,1.48,30.26,0,37
80,20,1,5,3600.31,4.46,4.09,2.97,4.2,4.2,9.05,2.62,5.83,29.29,0,41
80,26,1,1,2827.78,4.2,4.2,2.87,4.2,4.2,0,0,0,31.67,1,1323
80,26,1,2,2609.8,3.53,3.52,3.02,3.53,3.53,0.28,0.28,0,14.45,1,12931
80,26,1,3,3600.36,4.07,3.87,2.9,4.02,4.02,5.17,3.73,1.23,27.86,0,39
80,26,1,4,3600.19,4.13,4.05,3.11,4.11,4.11,1.98,1.46,0.48,24.33,0,62
80,26,1,5,3600.13,3.6,3.48,2.61,3.59,3.59,3.45,3.06,0.28,27.3,0,1510
80,40,1,1,3600.68,2.64,2.61,2.17,2.64,2.64,1.15,1.14,0,17.8,0,43060
80,40,1,2,3600.19,2.51,2.46,1.94,2.51,2.51,2.03,1.99,0,22.71,0,18825
