N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
60,20,1,2,748.93,4.93,4.93,3.17,4.93,4.93,0,0,0,35.7,1,1320
60,20,1,3,1088.55,4.52,4.52,3.24,4.52,4.52,0,0,0,28.32,1,634
60,20,1,4,509.91,3.9,3.9,3.03,3.9,3.9,0,0,0,22.31,1,2267
60,20,1,5,419.8,5.21,5.21,4.04,5.21,5.21,0,0,0,22.46,1,1126
60,30,1,1,3600.35,3.53,3.44,2.59,3.53,3.53,2.62,2.55,0,26.63,0,109807
60,30,1,2,124.51,3.07,3.07,2.43,3.07,3.07,0,0,0,20.85,1,2936
60,30,1,3,539.57,3.45,3.45,2.6,3.45,3.45,0,0,0,24.64,1,8198
60,30,1,4,193.25,3.72,3.72,2.65,3.72,3.72,0,0,0,28.76,1,443
60,30,1,5,203.91,3.8,3.8,2.93,3.8,3.8,0,0,0,22.89,1,1092
70,17,1,1,2131.72,4.27,4.27,3.31,4.27,4.27,0,0,0,22.48,1,689
70,17,1,2,3600.5,6.48,5.1,3.7,5.23,5.23,27.06,2.49,19.29,29.25,0,1430
70,17,1,3,2637.26,4.8,4.8,3.43,4.8,4.8,0,0,0,28.54,1,684
70,17,1,4,2443.65,5.45,5.45,3.69,5.45,5.45,0,0,0,32.29,1,422
70,17,1,5,3600.33,6.11,5.17,3.52,5.42,5.42,18.18,4.61,11.29,35.06,0,1073
70,23,1,1,3408.38,4.11,4.11,2.72,4.11,4.11,0,0,0,33.82,1,3156
70,23,1,2,1417.77,4.11,4.11,3.01,4.11,4.11,0,0,0,26.76,1,159
70,23,1,3,3600.12,3.81,3.73,2.6,3.77,3.77,2.14,1.06,1.05,31.03,0,7575
70,23,1,4,3043.16,4.85,4.85,3.46,4.85,4.85,0,0,0,28.66,1,1455
70,23,1,5,2339.07,4.48,4.48,3.12,4.48,4.48,0,0,0,30.36,1,4683
70,35,1,1,328.33,2.81,2.81,2.31,2.81,2.81,0,0,0,17.79,1,1
70,35,1,2,127.65,3.16,3.16,2.54,3.16,3.16,0,0,0,19.62,1,1
70,35,1,3,184.7,3.09,3.09,2.34,3.09,3.09,0,0,0,24.27,1,1
70,35,1,4,998.78,3.32,3.32,2.59,3.32,3.32,0,0,0,21.99,1,3286
70,35,1,5,3600.43,3.13,3.09,2.44,3.13,3.13,1.29,1.28,0,22.04,0,34455
80,20,1,1,3600.43,5.19,4.7,3.62,4.95,4.95,10.43,5.05,4.62,26.87,0,36
80,20,1,2,3600.41,4.43,4.16,3.09,4.3,4.3,6.49,3.26,2.93,28.14,0,243
80,20,1,3,3600.26,5.55,4.41,3.19,4.87,4.87,25.85,9.45,12.25,34.5,0,319
80,20,1,4,3600.33,4.67,4.46,3.25,4.66,4.66,4.71,4.29,0.21,30.26,0,138
80,20,1,5,3600.29,4.23,4.08,2.97,4.2,4.2,3.68,2.86,0.71,29.29,0,67
80,26,1,1,1068.34,4.2,4.2,2.87,4.2,4.2,0,0,0,31.67,1,45
80,26,1,2,2560.32,3.53,3.52,3.02,3.53,3.53,0.28,0.28,0,14.45,1,4761
80,26,1,3,3600.12,4.02,3.96,2.9,4.02,4.02,1.52,1.49,0,27.86,0,2541
80,26,1,4,3600.13,4.11,4.05,3.11,4.11,4.11,1.48,1.46,0,24.33,0,815
80,26,1,5,3600.46,3.61,3.47,2.61,3.59,3.59,4.03,3.34,0.55,27.3,0,164
80,40,1,1,476.55,2.64,2.64,2.17,2.64,2.64,0,0,0,17.8,1,1482
80,40,1,2,227.24,2.51,2.51,1.94,2.51,2.51,0,0,0,22.71,1,22
80,40,1,3,3600.1,2.72,2.7,2.15,2.72,2.72,0.74,0.74,0,20.96,0,20075
80,40,1,4,2977.08,3.03,3.03,2.47,3.03,3.03,0,0,0,18.48,1,33240
